Function Code,FC15,Function Name,PayScheduledBookingWithPayOS,,,,,,
Created By,Executed By,KhiemNVD,,,,,,,
Lines of code,48,Lack of test cases,0,,,,,,
Test requirement,Member creates a PayOS payment intent for a scheduled consultation booking while validating ownership booking state duplicate pending transactions and gateway creation result.,,,,,,,,
Passed,Failed,Untested,N/A/B,,,Total Test Cases,,,
7,0,0,1,6,0,7,,,
,,,UTCID01,UTCID02,UTCID03,UTCID04,UTCID05,UTCID06,UTCID07
Condition,Precondition,,,,,,,,
,,Can connect with server,O,O,O,O,O,O,O
,,Logged in as User,O,O,O,O,O,O,O
,,Consultation booking exists,O,,O,O,O,O,O
,,Booking belongs to current user,O,,,O,O,O,O
,,Booking status is PendingPayment,O,,,O,O,O,O
,,No previous paid consultation transaction,O,O,O,O,,O,O
,,No active pending PayOS transaction,O,O,O,O,O,,O
,,PayOS payment link can be created,O,O,O,O,O,O,
,,,,,,,,,
,Payment method,,,,,,,,
,,PayOs,O,O,O,O,O,O,O
,,,,,,,,,
Confirm,Return,,,,,,,,
,,HTTP 200,O,,,,,,
,,HTTP 404,,O,,,,,
,,HTTP 403,,,O,,,,
,,HTTP 409,,,,O,O,O,O
,,,,,,,,,
,Exception,,,,,,,,
,,,,,,,,,
,Log message,,,,,,,,
,,Operation completed successfully,O,,,,,,
,,Consultation booking was not found.,,O,,,,,
,,You are not allowed to pay for this booking.,,,O,,,,
,,Consultation booking is no longer waiting for payment.,,,,O,,,
,,Consultation has already been paid.,,,,,O,,
,,Consultation already has a pending payment transaction.,,,,,,O,
,,Failed to create PayOS payment link.,,,,,,,O
Result,,"Type(N : Normal, A : Abnormal, B : Boundary)",N,A,A,A,A,A,A
,,Passed/Failed,P,P,P,P,P,P,P
,,Executed Date,04/17,04/18,04/19,04/20,04/21,04/22,04/24
,,Defect ID,,,,,,,
